1;Ставропольский край;Ставрополь-Анапа;582;ОАО Предприятие 1564;21.10.2005;1;Краснодарский край;23
2;Чувашская Республика;Чебоксары - Яльчики - Ульяновск (н. Город);587;Чувашавтотранс ГУП ЧР;04.04.2007;73-04;Ульяновская обл;73
3;Тульская обл;Краинка - Москва (Щелковский АВ);958;Суворовавто ООО;21.10.2005;71-10;Москва;77
4;Тульская обл;Епифань - Москва (Щелковский АВ);963;Кимовскавто 2 ООО;21.10.2005;71-11;Москва;77
5;Тульская обл;Кимовск - Москва (Щелковский АВ);950;Кимовскавто 2 ООО;21.10.2005;71-12;Москва;77
6;Тульская обл;Богородицк - Москва (Щелковский АВ);215;Богородицкавто ООО;21.10.2005;71-13;Москва;77
7;Тульская обл;Куркино - Москва (Щелковский АВ);959;Богородицкавто ООО;21.10.2005;71-18;Москва;77
8;Тульская обл;Богородицк - Москва (Теплый стан);958;Богородицкавто ООО;21.10.2005;71-21;Москва;77
9;Тульская обл;Щёкино - Москва (Щелковский АВ);987;Щекиноавто-4 ООО;21.10.2005;71-19;Москва;77
10;Тульская обл;Новомосковск - Москва (Щелковский АВ);522;Новомосковскавто-1 ООО;21.10.2005;71-17;Москва;77
11;Тульская обл;Ефремов - Москва (Щелковский АВ);955;Ефремовавто-1;21.10.2005;71-15;Москва;77
12;Тульская обл;Алексин - Москва (Щелковский АВ);952;Алексинавто-3;21.10.2005;71-16;Москва;77
13;Тульская обл;Алексин - Москва (Красногвардейская);950;Автомобилист ООО, Алексинавто-3, Алексинское ПАТП;21.10.2005;71-22;Москва;77
14;Рязанская обл ;Рязань - Москва (Рязанский проезд);969;Гафуров Саме Саиджонович;06.09.2005;62-01;Москва;77
15;Республика Калмыкия;Элиста - Москва (Красногвардейская);586;Экспресс - Тур ООО;10.12.2004;08-04;Москва;77
16;Москва;Москва (Рязанский пр) - Кисловодск;525;Сатурн-трэвел ООО, Кавминводыавто;10.03.2005;77-01;Ставропольский край;26
17;Москва;Москва (Рязанский проезд) - Рязань;525;Транстурсервис ОАО;13.01.2005;62-01;Рязанская обл;62
18;Приморский край;Вострецово - Хабаровск;705;Земенок А.И, ЧП;18.01.2005;25-01;Хабаровский край;27
19;Москва;Москва (Рязанский проезд) - Орел;770;Транстурсервис ОАО;27.01.2005;77-03;Орловская обл;57
20;Чувашская Республика;Чебоксары - Сыктывкар;702;Мадиков Ю.С. вместо Смирнов С.Н.  ЧП;02.02.2005;21-05;Республика Коми;11
21; Москва;Москва (а/с Красногвардейская) - Геленджик;578;Сатурн-Трэвел ООО, Юг-Транс ООО;16.05.2005;77-06;Краснодарский край;23
22; Москва; Москва (Рязанский проезд) - Тверь ;511;Транстурсервис ООО;22.08.2007;77-08;Тверская обл;69
23; Москва; Москва (Шипиловский пр., вл. 31) - Ростов на Дону ;522;Транстурсервис ООО, Югавтотранс ООО;08.06.2005; 77-09;Ростовская обл;61
24;Ставропольский край;Ставрополь - Кизляр;249;Буденновское ПАТП, отменен по просьбе РСА СК от 24.07.2007 ;17.08.2005;26-19;Республика Дагестан;5
25;Ярославская обл;Углич - Москва (Щелковский АВ);938 А;Угличское ПАТП-2 ООО;23.06.2005;76-02;Москва;77
26;Чувашская Республика;Чебоксары - Тетюши;514;Автоколонна № 1852;;16-26;Республика Татарстан;16
27;Костромская обл;Кострома - Иваново;949;Костромское ПАТП № 3;25.10.2005;44-02;Ивановская обл;37
28;Костромская обл;Кострома - Ярославль;960;Костромское ПАТП № 3;25.10.2005;76-04960;Ярославская обл;76
29;Алтайский край;Славгород - Новосибирск;780;Славгородское ПАТП МУП;27.07.2005;22-11;Новосибирская обл;54
30;Алтайский край;Барнаул - Горно-Алтайск - Артыбаш ;911;Лагутин Е.А., Пассажирские перевозки ООО;27.07.2005;22-19;Республика Алтай;4
31;Алтайский край;Бийск - Таштагол;699;Бийск-Межгород МУП, БАНКРОТ, Обслуживание прекращено;27.07.2005;22-24;Кемеровская обл;42
32; Москва;Москва (Рязанский проезд) - Михайлов ;526;Транстурсервис ООО;03.08.2005;77-14;Рязанская обл;62
33;Москва;Москва (Рязанский проезд) - Ставрополь;715;Транстурсервис ОАО, Яцунов ЧП;30.08.2005;77-15;Ставропольский край;26
34;Москва;Москва (Рязанский проезд) - Волжский;501;Транстурсервис ОАО, Сатурн-Трэвел;31.08.2005;77-16;Ростовская обл;61
35;Москва;Москва (Рязанский проезд) - Майкоп;535;Транстурсервис ОАО, Сатурн-Трэвел;31.08.2005;77-17;Республика Адыгея;1
36;Пензенская обл;Пенза - Москва (Рязанские проезд);777;Белошапко В.А.;06.09.2005;58-10;Москва;77
37;Саратовская обл;Саратов - Москва (Красногвардейская);757;Автобаза Турист;14.10.2005;64-01;Москва;77
38;Тульская обл;Венев - Москва (Красногвардейская);902;Веневавто ООО;06.12.2005;71-32;Москва;77
39;Ростовская обл;Ростов-на-Дону - Мостовской;64;Евротранс-МС ООО;;61-16;Краснодарский край;23
40;Воронежская обл;Воронеж - Волгоград ч/з Алексеевскую;542;Пассажиртранссервис ООО;;36-19;Волгоградская обл;34
41;Орловская обл;Орел - Москва (Красногвардейская);976;Адомайтис В.А.;25.04.2006;57-01;Москва;77
42;Москва;Москва (Рязанский пр) - Воронеж;760;Транстурсервис ООО, Трансрейс ООО;11.05.2006;77-22;Воронежская обл;36
43;Липецкая обл;Липецк - Чаплыгин - Москва (Красногвардейская);531;"ИП ""Игнатов С.Н."" ";17.05.2006;48-12;Москва;77
44;Костромская обл;Кострома - Нижний Новгород;945;Волгореченское ПАТП;23.05.2006;44-03;Нижегородская обл;52
45;Тульская обл;Кимовск - Москва (Красногвардейская)  ;964;Кимовскавто-2 ООО;31.05.2006;71-35;Москва;77
46;Костромская обл;Кострома - Нижний Новгород ;945;Костромское ПАТП №3;15.06.2006;44-04;Нижегородская обл;52
47;Тульская обл;Плавск - Москва (Красногвардейская);912;Щекиноавто-4 ООО;28.07.2006;71-29;Москва;77
48;Москва;Москва (Рязанский проезд) - Волжский;501;Волжская АК 1732, Автобусные линии-Волгоград ООО, Транстурсервис ОАО;30.08.2006;77-16;Ростовская обл;61
49;Москва;Москва (Рязанский проезд) - Кисловодск;525;Транстурсервис ОАО, Кавминводыавто;19.09.2006;77-01;Ставропольский край;26
50;Ростовская обл;Волгодонск - Москва (Красногвардейская);788;"ООО ""Дон-Экспресс"" ";11.09.2006;61-21;москва;77
51;Ставропольский край;Невинномыск - Москва (Рязанский проезд);535;Кавминводы ОАО, Транстурсервис ОАО;13.10.2006;26-41;Москва;77
52;Калужская обл;Калуга - Воронеж;509;АК 1306-4 ЗАО;28.11.2006;36-09;Воронежская обл;36
53;Чувашская Республика;Чебоксары - Москва (Рязанский проезд);531;Горшков Геннадий Егорович;22.11.2006;21-29-531;Москва;77
54;Тверская обл;Белый - Нелидово - Москва (Рязанский проезд);500;Атек ООО;22.12.2006;69-07;Москва;77
55;Москва;Белый - Нелидово - Москва (Рязанский проезд);500;Транстурсервис ОАО;22.12.2006;69-07;Москва;77
56;Москва;Москва (Рязанский проезд) - Ржев;956;Транстурсервис ОАО;22.12.2006;77-28;Тверская обл;69
57;Чувашская Республика;Чебоксары - Нижний Новгород;501;Семенов А.А. ИП;10.01.2007;21-01;Нижегородская обл;52
58;Москва;Москва (Щелковский АВ) - Санкт-Петербург;630;"ООО ""Автопас"" ";12.01.2007;77-32;Санкт-Петербург;78
59;Москва;Москва (Рязанский пр) - Ярославль;675;Автотрэвэл + ООО;22.11.2006;50-12;Ярославская обл;76
60;Тверская обл;Бежецк - Кашин - Москва (Аэровокзал);603;"ИП ""Матвиевский Д.В."" ";28.02.2007;69-08;Москва;77
61;Чувашская Республика;Чебоксары - Москва (Рязанский пр);531;Самарина Л.В. ИП, Транстурсервис ОАО;11.04.2007;21-30;Москва;77
62;Ярославская обл;Ярославль - Казань;545;Ярославльавтотранс УКПТО ЗАО;25.04.2007;76-10;Республика Татарстан;16
63;Ставропольский край;Ставрополь - Москва (Рязанский проезд);747;Ставрополь-транстур ООО, Семенов А.В. ИП, Транстурсервис ОАО;15.05.2007;26-67;Москва;77
64;Москва;Москва (Рязанский пр) - Александров;676;Автотрэвэл + ООО;24.01.2007;50-02-676;Владимирская обл;33
65;Москва;Москва (Рязанский проезд) - Тверь;511;Транстурсервис ОАО, НП Ассоциация междугородних автобусных перевозчиков;15.06.2007;77-08;Тверская обл;69
66;Москва;Москва (Рязанский проезд) - Нефтекумск;515;Транстурсервис ОАО, Яцунов С.П. ИП;15.06.2007;77-29;Ставропольский край;26
67;Чувашская Республика;Чебоксары - Москва (Рязанский пр);531;АвтоВас ОАО;04.07.2007;21-30;Москва;77
68;Ставропольский край;Ставрополь (Гражданская, 2) - Махачкала;770;Макиян Араик Арамович ИП;15.11.2007;26-88;Республика Дагестан;5
69;Ульяновская обл;Ульяновск - Москва (Красногвардеская);745;Межрегионтранс ООО, Евролайнс ООО;11.07.2007;73-35;Москва;77
70;Ставропольский край;Ставрополь - Москва (Красногвардейская);515;"ОАО ""Предприятие 1564"" ";06.07.2007;26-49;Москва;77
71;Чувашская Республика;Новочебоксарск - Москва (Рязанский проезд);578;Горшков Геннадий Егорович;08.06.2007;21-29-578;Москва;77
72;Красноярский край;Минусинск - Абакан;120;Шпиндлер Ю.В. ИП;15.01.2007;24-27;Республика Хакасия;19
73;Чувашская Республика;Чебоксары - Москва (Рязанский пр);531;Андреев Ю.М. ИП;14.08.2007;21-30;Москва;77
74;Чувашская Республика;Чебоксары - Москва (Рязанский пр);531;Медакова Л. С. ИП;14.08.2007;21-30;Москва;77
75;Чувашская Республика;Чебоксары - Москва (Красногвардейская);531;"ИП ""Смирнова С.М."" ";15.08.2007;21-37;Москва;77
76;Тверская обл;Тверь - Москва (Рязанский проезд) ;511;Тверьавтотранс ОАО;22.08.2007;77-08;Москва;77
77;Москва;Москва (Рязанский пр.) - Кимры;967;"""Транстурсервис"" ОАО";18.09.2007;77-39;Тверская обл;69
78;Москва;Москва (Рязанский пр.) - Алатырь;575;"""Транстурсервис"" ОАО";18.09.2007;77-40;Чувашская Республика;21
79;Костромская обл;Кострома - Вологда;962;"ГП КО ""ПАТП-3""";25.10.2007;44-08;Вологодская обл;35
80;Москва;Москва (ул. Уральская) - Иваново;904;"ООО ""Еролайнс""";26.11.2007;77-43;Ивановская обл;37
81;Ивановская обл;Иваново - Москва (Уральская) ;904;"ИП ""Зотин В.А.""";05.12.2007;37-13;Москва;77
82;Чувашская Республика;Чебоксары - Москва (Рязанский проезд);531;"ООО ""АвтоТраст""";12.03.2008;12-03;Москва;77
83;Краснодарский край;Новороссийск - Белая Калитва;783;"ПТ ""Астра"" ИП ""Левченко А.А.""";18.04.2008;23-34;Ростовская обл;61
84;Чувашская Республика;Чебоксары - Москва (Рязанский проезд);531;"ИП ""Лазареdjango-admin startproject tutorialва Г.Т.""";12.05.2008;21-45;Москва;77
85;Краснодарский край;Краснодар - Москва (Аэровокзал);968;"ООО ""Давид Райзен""";30.05.2008;23-34;Москва;77
86;Краснодарский край;Анапа - Ростов-на-Дону;706;"ИП ""Скуба М.Г.""";22.09.2008;23-41;Ростовская обл;61
87;Пензенская обл;Пенза - Москва (Аэровокзал);660;"ИП ""Барикаев А.Ю.""";14.11.2008;58-24;Москва;77
88;Ростовская обл;Ростов-на-Дону - Анапа;539;"ООО ""ВаЛеНиН-Лайт""";27.11.2008;61-54;Краснодарский край;23
89;Ростовская обл;Ростов-на-Дону - Геленджик;613;"ООО ""ВаЛеНиН-Лайт""";27.11.2008;61-54;Краснодарский край;23
90;Москва;Москва (Красногвардейская АВ) - Ливны;980;"ООО ""Глобус Медиа""";17.02.2009;77-52;Орловская обл;57
91;Красноярский край;Минусинск - Абакан;120;Минусинское ПАТП ГПКК МПАТП;27.09.2004;24-18;Республика Хакасия;19
92;Пензенская обл;Пенза - Тамбов;641;Пензенское ПАТП №1 МУП;08.09.2005;58-01;Тамбовская обл;68
93;Пензенская обл;Пенза - Волгоград;642;Пензенское ПАТП №1 МУП;08.09.2005;58-04;Волгоградская обл;34
94;Вологодская обл;Череповец - Рыбинск;628;Череповецкая АК №1456;20.07.2005;76-01;Ярославская обл;76
95;Вологодская обл;Череповец - Гаютино;501;Череповецкая АК №1456;20.07.2005;35-05;Ярославская обл;76
96;Вологодская обл;Череповец - Весьегонск;920;Череповецкая АК №1456;20.07.2005;35-06;Тверская обл;69
97;Вологодская обл;Устюжна - Пестово;216;Устюженское МУП ПАТП;20.07.2005;35-07;Новгородская обл;53
98;Челябинская обл;Магнитогорск - Екатеринбург;912;Магнитогорское АТП №2;08.06.2005;74-17;Свердловская обл;66
99;Ставропольский край;Невинномысск - Приморско-Ахтарск;253;Невинномысское МУ ПАТП;17.08.2005;26-23;Краснодарский край;23
100;Ставропольский край;Буденновск - Астрахань;608;Буденновское ПАТП ООО;17.08.2005;26-05;Астраханская обл;30
101;Московская обл;Дубна (Вокзал) - Кимры (ст. Савелово);111;"ООО ""Кимрытрансавто"" ";20.11.2007;69-13;Тверская обл;69
102;Московская обл;Дубна (ул. Березняка) - Кимры (Автостанция);101;"ООО ""Кимрытрансавто"" ";20.11.2007;69-13;Тверская обл;69
103;Пензенская обл;Пенза - Тольятти;640;Пензенское ПАТП 1;05.10.2005;58-17-640;Самарская обл;63
104;Краснодарский край;Темрюк - Шахты;884;Темрюкская АК 2098;06.12.2005;61-03884;Ростовская обл;61
105;Краснодарский край;Темрюк - Ростов-на-Дону;865;Темрюкская АК 2098;06.12.2005;23-03;Ростовская обл;61
106;Калужская обл;Киров - Калуга - Москва (Теплый стан);504;"ОАО ""Автоколонна 1655""";26.01.2006;40-16;Москва;77
107;Калужская обл;Бетлица - Москва (Теплый стан);503;"ОАО ""Автоколонна 1655""";26.01.2006;40-17;Москва;77
108;Краснодарский край;Краснодар - Теберда;581;"ИП ""Малачов Т.М.""";05.04.2006;23-06;Кабардино-Балкарская Республика;7
109;Ставропольский край;Ставрополь - Туапсе;707;Предприятие 1564 ОАО;18.04.2006;26-31;Краснодарский край;23
110;Краснодарский край;Крымск - Майкоп;295;Крымское ПАТП;25.04.2006;23-08;Республика Адыгея;1
111;Рязанская обл;Рязань - Адлер;977;Гафуров Саме Саиджонович;16.06.2006;62-10;Краснодарский край;23
112;Ростовская обл;Волгодонск - Москва (Рязанский проезд);787;Задорожнюк В.Н. ИП;12.07.2006;61-20;Москва;77
113;Республика Башкортостан;Уфа - Сочи;981;Башавтотранс ГУП;20.07.2006;02-122;Краснодарский край;23
114;Республика Дагестан;Махачкала - Москва (Рязанский проезд);505;Дагтурсервис;30.08.2006;05-36;Москва;77
115;Ставропольский край;Невинномысск - Краснодар;709;Сбитнев А.П. ИП;05.09.2006;26-37;Краснодарский край;23
116;Ставропольский край;Изобильный - Краснодар;710;Карпов С.Г. ИП;05.09.2006;26-38;Краснодарский край;23
117;Москва;Москва (Красногвардейская) - Сочи ;265;Русские автобусные линии;11.10.2006;23-25;Москва;77
118;Ставропольский край;Ставрополь - Санкт-Петербург;711;Сотников Н.А. ИП;11.10.2006;26-39;Санкт-Петербург;78
119;Ставропольский край;Буденновск - Туапсе;710;"ООО ""Буденновское ПАТП"" ";11.10.2006;26-40;Краснодарский край;23
120;Краснодарский край;Ейск - Зерноград;903;Ространс ООО;28.11.2006;23-10;Ростовская обл;61
121;Краснодарский край;Крымск - Новочеркасск;743;Крымское ПАТП;28.11.2006;23-18;Ставропольский край;26
122;Краснодарский край;Анапа - Шахты;267;Анапское ПАТП;28.11.2006;61-09;Ростовская обл;61
123;Красноярский край;Минусинск - Абакан;120М.Т.;"ИП ""Шпиндлер Ю.В.""";15.01.2007;24-27;Республика Хакасия;19
124;Краснодарский край;Отрадная - Ставрополь;474;Отрадненское ПАТП;31.01.2007;23-22;Ставропольский край;26
125;Краснодарский край;Отрадная - Новочеркасск;804;Отрадненское ПАТП;15.02.2007;23-26;Ростовская обл;61
126;Краснодарский край;Отрадная - Невинномысск;958;Отрадненское ПАТП;15.02.2007;26-08;Ставропольский край;26
127;Красноярский край;Минусинск - Абакан;120;Железняков А.Ю.;27.02.2007;24-28;Республика Хакасия;19
128;Республика Хакасия;Абакан - Минусинск;120;Щербачев С.В. ИП;27.02.2007;19-04;Красноярский край;24
129;Республика Хакасия;Абакан - Минусинск;120;Шмидт А.А. ИП;27.02.2007;19-03;Красноярский край;24
130;Ставропольский край;Ставрополь - Краснодар;680;"ИП ""Куликов И.О."" ";07.06.2007;26-68;Краснодарский край;23
131;Москва;Москва (Курский) - Курск;544;Транстурсервис ОАО, Емельянова Н.В. ЧП;11.07.2007;77-35;Курская обл;46
132;Москва;Москва (Курский) - Орел;545;Транстурсервис ОАО, Ветров В.А. ИП;11.07.2007;77-36;Орловская обл;57
133;Ростовская обл;Ростов-на-Дону - Славянск-на-Кубани;505;ООО Автоэкспресс ;15.06.2007;61-39;Краснодарский край;23
134;Краснодарский край;Сочи - Волгоград;555;ИП Харин Д.В. ;03.07.2007;23-28;Волгоградская обл;34
135;Краснодарский край;Сочи - Ростов-на-Дону;649;ИП Харин Д.В. ;03.07.2007;61-38;Ростовская обл;61
136;Краснодарский край;Краснодар - Ставрополь (ч/з Новоалександровск);717;Кубань УРСавто ООО;09.07.2007;23-29;Ставропольский край;26
137;Липецкая обл;Липецк - Курск;504;Липецкие автобусные линии ОГУП;13.07.2007;46-10;Курская обл;46
138;Москва;Москва (Курский) - Железногорск;505;Транстурсервис ОАО, Пенцак К.В. ИП;08.08.2007;77-37;Курская обл;46
139;Новгородская обл;Новгород - Тихвин;638;Фабус ООО;06.08.2007;53-08;Ленинградская обл;47
